ID,CLÁUSULA
27,"(xviii) Notificar a Rappi cualquier inconveniente relacionado con la entrega de una orden al Usuario/Consumidor, entendiéndose que en la modalidad MarketPlace las órdenes se cierran automáticamente al concluirse los 30 (treinta) minutos posteriores al momento en el que el Aliado Comercial selecciona el estado correspondiente a: “en camino”. Se aclara que en ningún caso Rappi reembolsará al Aliado Comercial las órdenes que no sean debidamente entregadas a los Usuarios/Consumidores, de conformidad con los presentes Términos y Condiciones; ",,,,,,,
28,"(xix Market Place) (xvii Full Service). Dar una compensación equivalente al 10% (diez por ciento) del valor de la orden al Usuario/Consumidor en los casos en los que tome más de 40 (cuarenta) minutos en preparar la totalidad de la orden. El valor total de estas compensaciones será descontado del valor total a ser reembolsado por parte de Rappi al Aliado Comercial, de conformidad con los presentes Términos y Condiciones;",,,,,,,
29,"(xx Market Place) (xviii Full Service) Gestionar y obtener los permisos/licencias/autorizaciones necesarias para el correcto funcionamiento de sus Establecimientos de Comercio, en cumplimiento de la Ley Aplicable; ",,,,,,,
30,(xxi Market Place) (xix Full Service) Permitir el acceso y revisión por parte de Rappi de las tablets y/o de los dispositivos móviles usados por el Aliado Comercial para tramitar las órdenes realizadas por los Usuarios/Consumidores a través de la Plataforma Rappi;,,,,,,,
31,"(xxii Market Place) (xx Full Service) Abstenerse de reproducir, copiar y/o desarrollar el software de cualquier plataforma desarrollada por Rappi;",,,,,,,
32,(xxiii Market Place) (xxi Full Service) Eliminar todo el software que pertenezca a Rappi una vez cese el uso de la Plataforma Rappi por parte del Aliado Comercial. ,,,,,,,
33,"El Aliado Comercial declara y acepta que Rappi, en cualquier momento, podrá: (i) apagar y/o suspender Establecimientos de Comercio; (ii) apagar y/o suspender Productos; (iii) aumentar o reducir el Radio de Cobertura de los Establecimientos de Comercio; (iv) habilitar o deshabilitar métodos de pago; y/o (v) hacer uso de cualquier herramienta que permita balancear la demanda de la Plataforma Rappi, sin que se configure incumplimiento de ningún tipo por parte de Rappi.",,,,,,,
34,"El Aliado Comercial reconoce que es el entero responsable por la calidad, higiene, elaboración y seguridad de los ingredientes de los Productos y acepta cumplir con toda la Ley Aplicable en materia de seguridad alimentaria. Rappi no será responsable en ningún grado por cualquier incumplimiento del Aliado Comercial de los criterios anteriores. En el caso en el que el Usuario/Consumidor presente un reclamo con relación a la calidad, higiene, elaboración y seguridad de los ingredientes de los Productos, el Aliado Comercial deberá asumir el valor de los mismos. De esta manera, el Aliado Comercial autoriza el descuento semanal de dichos valores del total de sus ventas a través de la Plataforma Rappi. El valor pagadero por parte del Aliado Comercial a Rappi, mencionado anteriormente, es de carácter adicional a aquel pagado por concepto de Uso y Alquiler de la Plataforma Rappi.",,,,,,,
35,"El Aliado Comercial pagará a Rappi la siguiente suma por concepto del Uso y Alquiler de la Plataforma Rappi: Se pagará el _____ % (_____ por ciento) más IVA sobre el valor total de las ventas realizadas por el Aliado Comercial por medio de la Plataforma Rappi. Este porcentaje se calculará semanalmente sobre el precio de los Productos del Aliado Comercial en la Plataforma Rappi. 

Las órdenes que no sean tomadas por el Aliado Comercial dentro de los 7 (siete) minutos siguientes, después de haber sido solicitadas y tramitadas a través de la Plataforma Rappi, serán incluidas como órdenes tomadas y sumarán al valor final cobrado por concepto de Uso y Alquiler de la Plataforma Rappi en la relación de ventas.",,,,,,,
36," El Aliado Comercial pagará a Rappi, por concepto del Uso y Alquiler de la Plataforma Rappi un porcentaje variable sobre el valor total de las ventas realizadas por el Aliado Comercial por medio de la Plataforma Rappi. Dicho porcentaje variará dependiendo del mes de ejecución de los presentes Términos y Condiciones, de conformidad con lo establecido a continuación:

*EJEMPLO* Mes 1: 15% + IVA; ,Mes 2: 15% + IVA; ,Mes 3: 15% + IVA; ,Mes 4: 20% + IVA; ,Mes 5: 20% + IVA; ,Mes 6: 20% + IVA. *EJEMPLO*

Se aclara que este porcentaje se calculará sobre el precio de los Productos del Aliado Comercial en la Plataforma Rappi. Asimismo, las Partes entienden que el porcentaje variable establecido en la presente cláusula aplicará únicamente durante la vigencia inicial de los presentes Términos y Condiciones. Cualquier prórroga y/o renovación de los presentes Términos y Condiciones se regirá por el porcentaje de Uso y Alquiler de la Plataforma Rappi correspondiente al último mes indicado en el párrafo precedente.

Las órdenes que no sean tomadas por el Aliado Comercial dentro de los siete (7) minutos siguientes después de haber sido solicitadas y tramitadas a través de la Plataforma Rappi, serán incluidas como órdenes tomadas y sumarán al valor final cobrado por concepto de Uso y Alquiler Plataforma Rappi en la relación de ventas.
",,,,,,,
